# WadsRadio station list: Seattle radio stations
# Columns: station name, stream URL, volume offset, stream type, logo URL
# WadsRadio supports direct streams and HLS .m3u8 streams; the optional fifth column points at a local or remote station logo.
# Checked but not included: KOMO News tested StreamTheWorld URLs returned 404.

# Public, college, and community
KEXP 90.3 Seattle	https://kexp.streamguys1.com/kexp160.aac	0	direct	/station-logos/kexp.svg
KUOW 94.9	https://playerservices.streamtheworld.com/api/livestream-redirect/KUOWFM_HIGH_MP3.mp3	0	direct	/station-logos/kuow.svg
KNKX 88.5	https://knkx-live-a.edge.audiocdn.com/6284_128k	0	direct	/station-logos/knkx.svg
Jazz24	https://knkx-live-a.edge.audiocdn.com/6285_256k	0	direct	/station-logos/jazz24.svg
Classical KING FM 98.1	http://classicalking.streamguys1.com/king-fm-mp3	0	direct	/station-logos/king-fm.svg
C89.5 KNHC	http://streams.c895.org/live	0	direct
KBCS 91.3 Bellevue	http://stream.pacificaservice.org:8000/kbcs	0	direct
KBFG 107.3	http://192.81.134.38:8001/kbfg-1	0	direct

# News, talk, sports, and commercial
KISW 99.9	https://live.amperwave.net/direct/audacy-kiswfmaac-imc	0	direct
107.7 The End KNDD	https://live.amperwave.net/direct/audacy-knddfmaac-imc	0	direct
KZOK 102.5	https://stream.revma.ihrhls.com/zc2565	0	direct
KIRO Newsradio 97.3	https://bonneville.cdnstream1.com/2643_48.aac	0	direct
Seattle Sports 710 KIRO	https://bonneville.cdnstream1.com/2642_48.aac	0	direct
KJR 93.3	https://stream.revma.ihrhls.com/zc2577	0	direct
